%	pa1+1
兜	dou1+28,dou5+1
兟	shen1+1
兢	jing1+9
入	ru4+259
全	Quan2+45,quan2+263
兪	yu2+1
八	Ba1+48,ba1+196
公	Gong1+109,gong1+485,gong5+4
六	Liu4+29,Lu4+6,liu4+90
兮	xi1+7
兰	Lan2+35,lan2+275
共	Gong4+55,gong4+132
兲	tian1+1
关	Guan1+37,guan1+262
兴	Xing1+44,xing1+118,xing4+33
兵	Bing1+8,bing1+165
其	Qi2+2,qi2+172
具	ju4+102
典	dian3+86
兹	Zi1+2,ci2+1,zi1+67
养	Yang3+2,yang3+152
兼	jian1+38
兽	shou4+57
冀	Ji4+7,ji4+2
冁	chan3+1
冂	jiong1+1
冃	mao4+1
内	Nei4+38,nei4+251,nei5+1
円	yuan2+1
冇	mao3+1
冈	Gang1+11,gang1+35
冉	Ran3+1,ran3+6
冋	jiong1+1
册	Ce4+3,ce4+32
再	Zai4+1,zai4+91
冏	jiong3+5
冑	zhou4+2
冒	Mao4+3,mao4+52
冓	gou4+1
冔	xu3+1
冕	Mian3+2,mian3+15
冖	mi4+1
冗	rong3+32
冘	yin2+1,you2+3
写	xie3+84,xie4+1
军	Jun1+11,jun1+278
农	Nong2+17,nong2+115
冞	mi2+1
冠	Guan1+2,Guan4+3,guan1+86,guan4+12
冡	meng2+1
冢	zhong3+6
冣	ju4+1
冤	Yuan1+1,yuan1+45
冥	Ming2+1,ming2+28
冧	lin2+1
冫	bing1+1
冬	Dong1+9,dong1+57
冯	Feng2+10,ping2+2
冰	Bing1+8,bing1+157
冱	hu4+1
冲	Chong1+7,chong1+117,chong4+4
决	jue2+92
况	kuang4+36
冶	Ye3+2,ye3+19
冷	Leng3+9,leng3+129
冻	dong4+41
冼	Xian3+2
冽	lie4+4
净	Jing4+2,jing4+43,jing5+1
凃	tu2+1
凄	qi1+31
凅	gu4+1
准	Zhun3+4,zhun3+113
凇	song1+3
凉	Liang2+12,liang2+51,liang4+1
凊	jing4+1
凋	diao1+6
凌	Ling2+13,ling2+27
减	jian3+78
凑	cou4+22
凓	li4+1
凔	cang1+1
凛	lin3+7
凝	Ning2+1,ning2+45
凞	xi1+1
凟	du2+1
几	Ji1+7,Ji3+4,ji1+26,ji3+79
凡	Fan2+6,fan2+41
凤	Feng4+27,feng4+78
凥	ju1+1
処	chu3+1
凫	fu2+6
凭	Ping2+3,ping2+36
凮	feng1+1
凯	Kai3+28,kai3+17
凰	huang2+10
凳	deng4+15
凵	kan3+1
凶	xiong1+58
凸	tu1+40
凹	ao1+31,wa1+2
出	Chu1+8,chu1+529,chu5+2
击	ji1+148,ji2+1
凼	dang4+6
函	Han2+2,han2+61
凿	zao2+19,zuo4+1
刀	Dao1+2,dao1+163
刁	Diao1+3,diao1+10
刂	dao1+1
刃	ren4+15
分	Fen1+5,fen1+492,fen4+74,fen5+8
切	Qie1+3,Qie4+3,qie1+64,qie4+95
刈	Yi4+2,gua4+1,yi4+1
刊	kan1+38
刌	cun3+1
刍	chu2+9
刎	wen3+2
刑	Xing2+8,xing2+82
划	hua2+20,hua4+66,hua5+1
刓	wan2+1
刖	yue4+1
列	Lie4+25,lie4+122,lie5+1
刘	Liu2+49,liu2+2
则	Ze2+4,ze2+83
刚	Gang1+6,gang1+50,gang5+1
创	Chuang4+4,chuang1+14,chuang4+70
刜	fu2+1
初	Chu1+2,chu1+92
刞	qu4+1
删	shan1+11
刡	min3+1
判	pan4+58
別	bie2+1
刨	bao4+14,pao2+5
利	Li4+34,li4+512,li5+2
别	Bie2+4,bie2+160,bie4+5
刬	chan3+1
刭	jing3+1
刮	gua1+28
到	dao4+177,dao5+1
刱	chuang4+1
刲	kui1+1
刳	ku1+1
刴	duo4+1
刵	er4+1
制	Zhi4+2,zhi4+338
刷	shua1+42,shua4+2
券	quan4+50
刹	cha4+8,sha1+10
刺	ci1+2,ci4+101
刻	ke4+80
刽	gui4+2
刾	ci4+1
刿	gui4+1
剀	kai3+2
剁	Duo4+1,duo4+3
剂	ji4+187
剃	ti4+12
削	xiao1+8,xue1+17
剌	la1+1,la2+3,la4+8
前	Qian2+18,qian2+314,qian5+1
剐	gua3+3
剑	Jian4+11,jian4+43
剒	cuo4+1
剔	ti1+7,ti5+3
剕	fei4+1
剖	pou1+30
剚	zi4+1
剜	wan1+1
剞	ji1+1
剟	duo1+1
剡	shan4+1,yan3+1
剣	jian4+1
剤	ji4+1
剥	bao1+4,bo1+23
剧	Ju4+2,ju4+101
剩	sheng4+19
剪	Jian3+1,jian3+42
副	fu4+60
剰	sheng4+1
割	ge1+39,gua4+1
剳	da2+1
剸	tuan2+1
剺	li2+1
剽	piao1+3
剿	chao1+4,jiao3+10
劁	qiao1+1
劂	jue2+1
劄	zha1+1
劈	pi1+15,pi3+4
劓	yi4+1
劖	chan2+1
劘	mo2+1
劙	li2+1
力	Li4+7,li4+531,li5+3
劝	quan4+38
办	Ban4+10,ban4+107
功	gong1+137
加	Jia1+77,jia1+319
务	Wu4+3,wu4+192,wu5+7
劢	mai4+1
劣	lie4+24
劦	lie4+1,xie2+1
动	Dong4+3,dong4+670
助	zhu4+99
努	Nu3+8,nu3+24
劫	jie2+39
劬	qu2+1
劭	Shao4+2,shao4+2
劮	yi4+1
励	Li4+2,li4+11
劲	jin4+60,jing4+21
劳	Lao2+13,lao2+148,lao5+1
労	lao2+1
劵	juan4+1
劻	kuang1+1
劼	Jie2+1,jie2+1
劾	he2+3
势	shi4+117,shi5+4
勃	Bo2+16,bo2+30
勄	min3+1
勇	yong3+39
勈	yong3+1
勉	Mian3+1,mian3+14
勋	Xun1+3,xun1+15
勍	qing2+1
勐	Meng3+4,meng3+1
勒	Le4+8,le1+1,le4+115,lei1+14
勔	mian3+1
勖	xu4+1
勗	xu4+1
勘	Kan1+2,kan1+15
勚	yi4+1
勞	lao2+1
募	mu4+13
勤	qin2+77
勧	quan4+1
勯	dan1+1
勰	xie2+2
勷	rang2+1
勹	bao1+1
勺	shao2+17
勾	Gou1+3,gou1+38,gou4+3
勿	wu4+15
匀	yun2+13
匁	xx5+1
包	Bao1+17,bao1+251,bao5+1
匆	cong1+14
匈	Xiong1+6,xiong1+1
匉	peng1+1
匊	ju1+1
匋	tao2+1
匍	pu2+5
匏	pao2+1
匐	fu2+4
匑	gong1+1
匔	gong1+1
匕	bi3+2
化	Hua4+10,hua1+3,hua4+623
北	Bei3+179,bei3+172
匘	nao3+1
匙	chi2+6,shi5+10
匚	fang1+1
匜	yi2+1
匝	Za1+1,za1+9
匞	jiang4+1
匠	jiang4+29,jiang5+11
匡	Kuang1+4,kuang1+3
匣	xia2+9
匦	gui3+2
匧	qie4+1
匪	fei3+26
匮	Kui4+1,gui4+3,kui4+19
匴	suan3+1
匵	du2+1
匶	jiu4+1
匸	xi4+1
匹	Pi3+1,pi1+1,pi2+1,pi3+28
区	Ou1+1,Qu1+78,ou1+1,qu1+1174
医	Yi1+10,yi1+124
匽	yan3+1
匾	bian3+4,pian2+1
匿	ni4+10
十	Shi2+18,shi2+192
卂	xun4+1
千	Qian1+14,qian1+161
卄	nian4+1
卅	sa4+3
